name,description,Generated Query
HDFC Regalia Credit Card,"Low forex markup fee of 2%; 10,000 rewards on Rs. 5 lakh annual spends & 5,000 rewards on Rs. 8 lakh annual spends; Up to 20% off on dining via Swiggy Dineout; Insurance cover for air accident death, lost card liability & emergency overseas hospitalisation; 1% fuel surcharge waiver up to Rs. 500 per month for fuel spends of Rs. 400 to Rs. 5,000",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
HDFC MoneyBack+ Credit Card,"2 CashPoints per Rs. 150 spent on other categories; 500 CashPoints as welcome benefit after the payment of joining fee; Gift vouchers worth up to Rs. 2,000 in a year as milestone benefits",I need a credit card that matches my spending habits and offers great rewards and benefits.
HDFC Millennia Credit Card,"On spending Rs. 1 Lakh in a quarter: Either avail 1 complimentary lounge access OR a voucher worth Rs. 1,000 from the list of associated brands; Up to 20% off on dining at partner restaurants via Swiggy Dineout; 1% fuel surcharge waiver on transactions between Rs. 400 and Rs. 5,000",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
HDFC Infinia Credit Card,"1 RP = 1 Air Mile or Rs. 1 for travel bookings, Apple products and Tanishq vouchers purchased via SmartBuy; Invite-only card with Club Marriott membership and 12,500 reward points on card activation & renewal; 5 reward points on every Rs. 150 spent, including spends on insurance, utilities and education​; Access to unlimited golf coaching in India & golf games across the world; Book 3 nights stay at participating ITC hotels and pay for 2 with 1+1 complimentary weekend buffet; Low forex mark-up fee of 2%",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I am a student looking for a credit card with low fees and benefits for online shopping and education.
HDFC Diners Club Black Credit Card,"Up to 10X reward points on SmartBuy and 2X on weekend dining with up to 1:1 redemption ratio; Annual memberships of Club Marriott, Forbes, Amazon, Swiggy One (3 months) and MMT BLACK on joining; Low forex markup fee of 2% and renewal of annual complimentary memberships on Rs. 8 lakh annual spends; Any 2 vouchers of Rs. 500 from Ola cabs, cult.fit Live, BookMyShow, or TataCliQ on Rs. 80,000 monthly spends; 6 complimentary golf games in a calendar quarter",I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
6E Rewards XL Indigo HDFC Credit Card,"5% 6E Rewards per Rs. 100 spent on IndiGo website or mobile app; 3% 6E Rewards per Rs. 100 spent on dining, grocery, and entertainment spends; 2% 6E Rewards per Rs. 100 for all other retail spends; 1 complimentary 6E Prime Add-On and Accor Hotel stay voucher as welcome benefit; 8 complimentary domestic lounge visits in a year",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I love shopping and need a credit card that provides discounts on top brands and retail stores. I enjoy dining out and want a credit card that offers restaurant discounts and rewards. I frequently go to movies and events and need a credit card that provides entertainment benefits.
HDFC Intermiles Signature Credit Card,"Discount voucher of Rs. 750 on return flight tickets booked via InterMiles for the first year; Discount voucher of Rs. 2,000 on hotel bookings for the first year as renewal benefit; 3,000 InterMiles on spending Rs. 6,000 within the first 30 days of the Anniversary date; 5% off on Economy Class ticket & 10% off on Business Class ticket booking of Etihad Airways; Complimentary Dineout Membership",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I need a business credit card that helps with expense management and travel perks.
IndianOil HDFC Credit Card,"5% fuel points on spends done at IndianOil outlets; 1% fuel surcharge waiver, up to Rs. 250 per month, for IOCL fuel spends of Rs. 400 and above; 1 fuel point per Rs. 150 spent on other purchases, including UPI, where 1 fuel point = Up to Rs. 0.96; Complimentary IndianOil XTRAREWARDS Program (IXRP) membership on joining; Annual fee waived off on spending Rs. 50,000 in a year",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts.
HDFC Regalia Gold Credit Card,"Complimentary Swiggy One & MMT Black Elite Memberships; Gift voucher worth Rs. 2,500 on the payment of joining fee; 6 complimentary international lounge visits & 12 complimentary domestic airport lounge visits per year; Marks & Spencer, Reliance Digital, Myntra or Marriott vouchers worth Rs. 1,500 on Rs. 1.5 Lakh quarterly spends; Flight vouchers worth Rs. 5,000 on annual spends of Rs. 5 Lakh",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses.
IRCTC HDFC Bank Credit Card,"Gift voucher worth Rs. 500 on reaching the retail spending milestone of Rs. 30,000 every quarter; 1% transaction charges waiver, up to Rs. 1,000 in a month on IRCTC website and app; 1% fuel surcharge is waived off on transactions between Rs. 400 to Rs. 5,000",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel by train regularly and need a credit card that rewards my railway bookings. I love shopping and need a credit card that provides discounts on top brands and retail stores.
Axis Bank Reserve Credit Card,"Up to 30 EDGE reward points for every Rs. 200 spent; B1G1 offer on BookMyShow tickets with up to 5 offer tickets per month; ITC Culinaire, Accorplus, Club Marriott & EazyDiner Prime memberships & offers on Postcard & Oberoi hotels; 50 free golf rounds every year across select golf courses in India",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses.
Axis Magnus Credit Card,"Low forex mark-up fee of 2%; Conversion of rewards into Air Miles or Hotel Loyalty points (5:2); Luxe gift card/ The Postcard Hotels/ Yatra voucher worth Rs. 12,500 on making the first transaction within 30 days from card issuance",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses.
Axis Atlas Credit Card,"2,500 bonus EDGE Miles as welcome benefit; Up to 5 EDGE Miles per Rs. 100 spent on travel; Redeem EDGE Miles at value of 1 EDGE Mile = 2 Partner Points; Milestone benefits of up to 5,000 EDGE Miles; Up to 18 complimentary domestic lounge visits in a year",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses.
Axis Bank Horizon Credit Card,"5 EDGE Miles on every Rs. 100 spent on Axis Bank Travel EDGE portal and direct airline websites/counters; 2 EDGE Miles on every Rs. 100 spent on other categories; 25% off, up to Rs. 800 per month, on dining via EazyDiner, on minimum order of Rs. 2,500; 5,000 EDGE Miles on the first card spend of min. Rs. 1,000 made within 30 days of card issuance; 1,500 EDGE Miles as card renewal bonus",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
Axis Bank SELECT Credit Card,"10 EDGE Reward Points on every Rs. 200 spent; Flat Rs. 500 off per month on BigBasket on minimum spend of Rs. 3,000; Rs. 200 off on Swiggy, twice a month, on minimum spend of Rs. 1,000; Up to 12 complimentary international lounge visits in a year & 2 domestic lounge visits per quarter; Up to 12 complimentary golf rounds in a year",I need a credit card that matches my spending habits and offers great rewards and benefits.
Flipkart Axis Bank Credit Card,"1% cashback across other spends; 4 complimentary domestic airport lounge visits in a year on spending at least Rs. 50,000 in a year; Activation benefits worth Rs. 600 from Flipkart and Swiggy; 1% fuel surcharge waiver on transactions between Rs. 400 and Rs. 4,000",I need a credit card that offers cashback on my daily spending. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts.
Axis My Zone Credit Card,"Flat Rs. 120 off on Swiggy on a minimum spend of Rs. 500, twice a month; Buy 1 Get 1 movie ticket free on bookings via District App, up to Rs. 200 off per month; Up to Rs. 1,000 off on Ajio on a minimum transaction of Rs. 2,999; Renewal of SonyLiv Premium annual subscription on spending Rs. 1.5 Lakh in a year; Up to 15% off (max. Rs. 500) on dining via EazyDiner, twice a month on a min. spend of Rs. 2,500",I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I enjoy dining out and want a credit card that offers restaurant discounts and rewards. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IndianOil Axis Bank Credit Card,"4% back as 20 EDGE reward points per Rs. 100 spent on IOCL fuel; 1% fuel surcharge waiver of up to Rs. 50 per month on fuel spends of Rs. 400 to Rs. 4,000; 1 EDGE reward point per Rs. 100 spent on other spends, 1 EDGE reward point = Rs. 0.20; 100% cashback, up to Rs. 250, as EDGE rewards on the 1st fuel spend made within the 1st 30 days; Annual fee waived off on Rs. 3.5 lakh annual spends and up to 15% off on dining via EazyDiner",I need a credit card that offers cashback on my daily spending. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
Axis Bank ACE Credit Card,"1.5% cashback on other offline & online spends; 4 domestic lounge access per year on spending Rs. 50,000 or more in the previous quarter; 1% fuel surcharge waiver across all fuel stations on transactions between Rs. 400 to Rs. 4,000",I want a credit card that provides cashback on my online shopping. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel often and need a premium credit card that provides airport lounge access and exclusive perks.
Amazon Pay ICICI Credit Card,5% cashback on Amazon spends for Prime members; 3% cashback on Amazon spends for Non-prime members; 2% cashback on spends at Amazon Pay partner merchants; 1% cashback on other spends; 1% waiver on fuel surcharge across all petrol pumps in India,I need a credit card that offers cashback on my daily spending. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts.
ICICI Coral Credit Card,"2 reward points per Rs. 100 spent and 1 reward point per Rs. 100 spent on utilities & insurance; 25% discount, up to Rs. 100 each on BookMyShow and Inox on purchase of minimum 2 movie tickets per transaction, valid twice a month; 1 complimentary railway lounge access per quarter, on spending Rs. 5,000 or above in the previous quarter; 2,000 bonus reward points on spending Rs. 2 Lakh and additional 1,000 reward points on spending Rs. 1 Lakh; 1% fuel surcharge waiver on HPCL petrol pumps",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I frequently go to movies and events and need a credit card that provides entertainment benefits.
ICICI HPCL Super Saver Credit Card,"4% cashback, max. Rs. 200 per month, on HPCL spends & 1% on fuel surcharge; Save additional 1.5% as 6 reward points per Rs. 100 spent on HPCL fuel via the HP Pay app; 2 reward points per Rs. 100 spent on other retail purchases, 1 RP = Rs. 0.25; Rs. 100 cashback on recharge via HP Pay app & 2,000 reward points as joining bonus; 1 domestic airport lounge access per quarter on spending Rs. 35,000 in the previous quarter",I need a credit card that offers cashback on my daily spending. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I love shopping and need a credit card that provides discounts on top brands and retail stores.
MakeMyTrip ICICI Bank Signature Credit Card,"4 My Cash per Rs. 200 spent on MMT hotel/ holiday bookings & 2 My Cash per Rs. 200 spent on MMT flight bookings; Up to 4,000 My Cash every year as milestone benefit; 2 complimentary domestic lounge access every quarter; 1 complimentary railway lounge access every quarter; 25% off up to Rs. 150 twice a month on booking min. 2 movie tickets via BookMyShow and INOX",I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I frequently go to movies and events and need a credit card that provides entertainment benefits.
Adani One ICICI Bank Signature Credit Card,"Activation benefits worth Rs. 9,000; 4 premium lounge upgrades every quarter; 4 valet parking every year and  4 premium car parking every year; 2 porter services on every Rs.1 Lakh spent (Max. 8 per year); 50% off, up to Rs. 500, twice a month on BookMyShow",I travel often and need a premium credit card that provides airport lounge access and exclusive perks.
ICICI Bank Sapphiro Credit Card,"2 reward points per Rs. 100 spent domestically; 1 reward point per Rs. 100 spent on utility & insurance; Complimentary golf round/ lesson, up to 4 a month, on every Rs. 50,000 retail spends in the previous month; Buy 1 and get up to Rs. 500 off on the 2nd ticket, twice every month via BookMyShow; 4,000 reward points on annual spends of Rs. 4 lakh; 2,000 reward points on every Rs. 1 lakh spent in an anniversary year",I love shopping and need a credit card that provides discounts on top brands and retail stores.
ICICI Emeralde Private Metal Credit Card,"Rs. 3,000 EaseMyTrip vouchers on reaching each annual spending milestone of Rs. 4 Lakh and Rs. 8 Lakh; Unlimited golf lessons or rounds every month on creating a Golftripz account; EazyDiner membership, up to 50% off on dining in India & Dubai; 2,000 EazyPoints on joining; Buy 1 ticket and get up to Rs. 750 off on the 2nd ticket on BookMyShow bookings, twice a month; 1% fuel surcharge waiver of up to Rs. 1,000 per month on fuel transactions below Rs. 4,000; Low forex markup fee of 2%",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
YES Private Credit Card,"40 and 20 Reward points per Rs. 200 spent on international and domestic purchases respectively; $100 savings per person on Globus and Monograms vacations; Offers at Mandarin Oriental Hong Kong, Parkroyal on Pickering & Shangri-la (Singapore) & Intercontinental Chennai Mahabalipuram Resort; B1G1 movie offer with up to 4 free tickets with max. Rs. 250 off on each per month and 50% off, max. Rs. 1,000, on events; 12 free domestic golf lessons with 12 free rounds of green fees for cardholders & 4 for guests per year; Offers on select international golf courses",I frequently go to movies and events and need a credit card that provides entertainment benefits.
YES Bank Marquee Credit Card,"1% forex mark-up fee; Up to 12 complimentary golf lessons in a year & 4 green fee waivers at select golf courses in India; 60,000 and 20,000 YES Rewardz Points on joining and renewal fee payments respectively; B1G1 offer with up to Rs. 800 off per BookMyShow movie ticket with max. 3 free tickets per month; Min. 15% off on dining via Dining Fiesta program",I enjoy dining out and want a credit card that offers restaurant discounts and rewards. I frequently go to movies and events and need a credit card that provides entertainment benefits. I want a credit card with an annual fee waiver based on my spending habits.
YES Bank RESERV Credit Card,"6 YES Rewardz Points per Rs. 200 spent on other categories; Low forex mark-up fee of 1.75%; 8,000 reward points on renewal fee payment; 25% off up to Rs. 250 per month on BookMyShow movie tickets; 4 complimentary rounds of green fees per year (1 per month), 1 golf game per month at select golf courses; Choice to subscribe to 3X/5X rewards plans by paying Rs. 3,500/Rs. 5,000 per year",I frequently go to movies and events and need a credit card that provides entertainment benefits. I want a credit card with an annual fee waiver based on my spending habits.
YES Bank Paisabazaar PaisaSave Credit Card,"Earned Cashback Points can be redeemed as statement credit in 1:1 ratio at zero redemption fee; 1.5% cashback on online spends made after reaching the monthly capping; Renewal fee waived off on reaching Rs. 1.2 lakh annual spends; 1% fuel surcharge waiver, up to Rs. 250 per month, on all fuel spends worth Rs. 500 to Rs. 3,000",I want a credit card that provides cashback on my online shopping. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I want a credit card with an annual fee waiver based on my spending habits.
YES Bank Wellness Plus Credit Card,"12 complimentary fitness sessions every month, including gym, yoga, Zumba, etc.; Annual complimentary preventive health check-ups across 31 parameters; Annual complimentary eye and dental check-ups; 6 reward points per Rs. 200 spent on other purchases; 10 Reward Points = 1 InterMile or 1 Club Vistara Point; Up to 2 complimentary visits to domestic airport lounges every calendar quarter",I need a credit card that matches my spending habits and offers great rewards and benefits.
YES Bank ELITE+ Credit Card,"4 YES Rewardz Points per Rs. 200 on select categories; 10 YES Rewardz Points = 1 InterMile or 1 CV Point; 4 rounds of green fee waiver and 12 complimentary golf lessons per year, max. 1 each in a month; 25% off, up to Rs. 250 per month, on movie tickets booked via BookMyShow; Renewal fee waived on reaching Rs. 2 lakh annual spends; Forex markup of 2.75%; Earn 3x or 5x YES Rewardz Points on paying additional fee worth Rs. 1,500 or Rs. 2,500 respectively",I frequently go to movies and events and need a credit card that provides entertainment benefits. I want a credit card with an annual fee waiver based on my spending habits.
YES Bank SELECT Credit Card,"2 YES Rewardz Points per Rs. 200 select category spends; 4 complimentary rounds of green fees per year at golf courses in India; Renewal fee waived off on spending Rs. 1 lakh during the previous year; Up to 1 complimentary visit to domestic airport lounges per quarter; Preferential forex markup of 2.75%; Earn 3x or 5x YES Rewardz Points on paying additional fee of Rs. 1,000 or Rs. 2,000 respectively",I want a credit card with an annual fee waiver based on my spending habits.
YES Bank ACE Credit Card,"2 YES Rewardz Points per Rs. 200 spent on other categories, like recharge, utility, insurance, govt. and education; Annual fee waived on spending minimum Rs. 50,000 during the previous year; Joining fee reversed on making Rs. 5,000 spends within the first 30 days; Forex mark-up fee of 2.75%; 1% fuel surcharge waiver, up to Rs. 100 per month, on fuel spends worth Rs. 400 to Rs. 5,000; Credit shield cover of  Rs. 1 lakh and lost card liability cover of Rs. 1.3 lakh",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I am a student looking for a credit card with low fees and benefits for online shopping and education.
HSBC Taj Credit Card,"Taj InnerCircle Platinum NeuPass membership covering benefits like priority/early check-ins, late check-outs, dedicated 24/7 Platinum concierge service, and more; Free access to premier executive business club- The Chambers Lounge (12 visits/year) and Taj Club Lounge (up to 12 times a year), with tea/coffee for 2; Unlimited room upgrades to the next level of room or suite at participating hotels (on up to 5 consecutive night stays); 25% savings on the best available rate for room/suite at Taj Palaces, Safaris and other properties; 4 free set meal for two vouchers at Taj and other participating restaurants; 25% savings on food and beverages, including Qmin deliveries; Complimentary 60-minute spa treatment (up to 4 a year), plus access to the sauna and steam room; Free swimming pool access for 2 (up to 12 times a year)",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I enjoy dining out and want a credit card that offers restaurant discounts and rewards. I need a business credit card that helps with expense management and travel perks.
HSBC TravelOne Credit Card,"Cashback worth Rs. 1,000; Postcard Hotels voucher worth Rs. 3,000 and 3 months EazyDiner Prime membership on card activation; 4 reward points on every Rs. 100 spent on flights, travel aggregators, and in foreign currency; 2 reward points on every Rs. 100 spent on other spending categories; Value of  1 reward point = 1 Air Mile or Hotel Point; 10,000 bonus reward points on spending more than Rs. 12 lakh in a year; 6 domestic and 4 international airport lounge access per year; 4  rounds and 12  golf lessons per year, capped at 1 per month; Up to 20% off at duty-free shopping via the AdaniOne app or website",I need a credit card that offers cashback on my daily spending. I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I love shopping and need a credit card that provides discounts on top brands and retail stores.
HSBC Premier MasterCard Credit Card,"12,000 Taj Experiences Gift Card, Complimentary Taj Epicure Membership and EazyDiner Prime Membership on activation; 3 reward points per Rs. 100 across all spends; Conversion into air miles in 1:1 ratio against Apple Product purchase and Ailines; Unlimited complimentary domestic lounge visits; Unlimited complimentary international lounge visits with 8 free guest visits in a year; Low forex mark-up fee of 0.99%; Buy One Get One offer on BookMyShow",I need a credit card that matches my spending habits and offers great rewards and benefits.
HSBC Live+ Credit Card,"4 complimentary domestic airport lounge visits per year; Rs. 1,000 cashback on making Rs. 20,000 worth of spends within the first 30 days of card issuance; Up to 15% off at partner restaurants via Live+ Dining Programme; Annual fee waived off on annual spends worth more than Rs. 2 lakh",I need a credit card that offers cashback on my daily spending. I enjoy dining out and want a credit card that offers restaurant discounts and rewards.
HSBC Visa Platinum Credit Card,"2 reward points per Rs. 150 spent; 5X rewards up to 15,000 per year on spends made over Rs. 4 lakh annual spends; Rewards redemption for InterMiles, Club Vistara points, and airmiles from British & Etihad Airways; Fuel surcharge waiver of up to Rs. 3,000 per year on fuel spends of Rs. 400 to Rs. 4,000; Zero lost card liability cover of up to Rs. 3 lakh",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts.
IDFC FIRST Power+ Credit Card,"5% savings as 30 rewards per Rs. 150 spent on HPCL fuel & LPG; 1.5% savings as 6 Happy Coins per Rs. 100 spent on HP Pay app; 3 rewards per Rs. 150 spent on UPI & other purchases, 1 RP = Rs. 0.25; 1 complimentary domestic airport lounge access per quarter on min. monthly spends of Rs. 20,000; 25% off, up to Rs. 100, on movie tickets once per month & annual fee waived on Rs. 1.5 lakh annual spends",I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IDFC FIRST Wealth Credit Card,"3x rewards on monthly spends of up to Rs. 20,000 and 10x rewards on spends after this spend threshold; 1 reward point per Rs. 150 spent on insurance and utility; low forex mark-up fee of 1.5%; Buy 1 get 1 offer with up to Rs. 250 off twice a month on movie tickets on District by Zomato app; Complimentary golf round per Rs. 20,000 monthly spends, up to 2 rounds/month; 5% cashback on 1st EMI transaction and Rs. 500 gift voucher as welcome benefit; Low forex mark-up of 1.5%",I need a credit card that offers cashback on my daily spending. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IDFC FIRST Select Credit Card,"1 reward point per Rs. 150 on utility and insurance premium spends; 2 complimentary domestic airport lounge access in a quarter on spending Rs. 20,000 in a month; Buy 1 Get 1 offer on movie tickets, twice a month on District by Zomato app; Gift vouchers worth Rs. 500 and 5% cashback on 1st EMI transaction as welcome benefit; Up to 12 complimentary golf lessons per year; low forex mark-up of 1.99%",I need a credit card that offers cashback on my daily spending. I travel often and need a premium credit card that provides airport lounge access and exclusive perks. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IDFC FIRST Millennia Credit Card,"Up to 3X reward points on all UPI spends via RuPay card; 1x reward points on insurance and utility spends; 25% off up to Rs. 100 once a month on movie tickets on District by Zomato app; 4 complimentary railway lounge visits per quarter; Rs. 500 gift voucher and 5% cashback on the 1st EMI transaction as welcome bonus; 1% fuel surcharge waiver up to Rs. 200 per month on fuel spends of Rs. 200 to Rs. 5,000",I need a credit card that offers cashback on my daily spending. I frequently spend on fuel and want a credit card that offers fuel surcharge waivers and discounts. I travel by train regularly and need a credit card that rewards my railway bookings. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IDFC FIRST Mayura Credit Card,"1X rewards = 1 Reward Point per Rs. 150 spent; No forex mark-up fee; Reimbursement of up to Rs. 50,000 on flight/hotel booking cancellation, twice per year; Buy 1 and get up to Rs. 500 off on 2nd movie ticket on BookMyShow, twice per month; 7,500 Reward Points on Rs. 8 lakh annual spends and 15,000 Reward Points on Rs. 15 lakh annual spends; Up to 2 golf rounds per month, 1st on Rs. 20,000 monthly spends and 2nd on Rs. 40,000 monthly spends",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I frequently go to movies and events and need a credit card that provides entertainment benefits.
IDFC FIRST Ashva Credit Card,"1X rewards = 1 Reward Point per Rs. 150 spent; 7,500 Reward Points on reaching Rs. 8 lakh annual spends post annual fee payment; 1% forex mark-up and reimbursement of up to Rs. 25,000 on flight/hotel booking cancellations, twice a year; Buy 1 and get up to Rs. 400 off on the 2nd movie ticket via BookMyShow, twice every month; Up to 2 golf rounds per month, 1st on Rs. 20,000 monthly spends and 2nd on Rs. 40,000 monthly spends",I frequently book flights and hotels and want a credit card that gives me discounts on travel expenses. I frequently go to movies and events and need a credit card that provides entertainment benefits.
