Name,Bank,Minimum Age,Maximum Age,Minimum Income (LPA),Minimum Credit Score,Joining fee,Annual fee,Issuer Link
IDFC FIRST EARN Credit Card,IDFC,18,65,2.5,0,0,0,https://www.idfcfirstbank.com/credit-card/secured-rupay-credit-card
IDFC FIRST WoW Credit Card,IDFC,18,65,2.5,0,0,0,https://www.idfcfirstbank.com/credit-card/wow
Magnet FD Backed Credit Card,SMB,18,65,2.5,0,0,0,"https://cardinsider.com/fintech-cards/magnet-fd-backed-credit-card/#:~:text=Offering%20lifetime%20free%20membership%2C%20the%20Magnet%20Credit%20Card,Bank%2C%20earning%20up%20to%207%25%20interest%20per%20annum."
OneCard Metal Credit Card,Federal Bank,18,65,4,700,0,0,https://apply.getonecard.app/onecardweb/signUp
AU Nomo Credit Card,AU Bank,18,75,2.5,0,199,199,https://www.aubank.in/personal-banking/credit-cards/nomo-credit-card%20
SBI Unnati Credit Card,SBI,18,65,3,0,0,0,https://www.sbicard.com/en/personal/credit-cards/shopping/sbi-card-unnati.page
IDBI Bank Imperium Platinum Credit Card,IDBI,18,65,2.5,0,499,499,https://www.idbibank.in/Imperium-credit-card.aspx
SBI Student Plus Advantage Credit Card,SBI,18,60,2.5,0,0,0,https://www.bankbazaar.com/credit-card/sbi-student-plus-advantage-credit-card.html
ICICI Instant Platinum Credit Card,ICICI,18,65,2.5,0,0,0,https://www.icicibank.com/personal-banking/cards/credit-card/platinum-credit-key-privileges
Kotak 811 #DreamDifferent Credit Card,Kotak Mahindra Bank,18,75,2.5,0,0,0,https://www.kotak.com/en/personal-banking/cards/credit-cards/811-dream-different-credit-card.html
HDFC Bank Diners Club Black Metal Edition Credit Card,HDFC,21,65,21,750,10000,10000,https://www.hdfcbank.com/personal/pay/cards/credit-cards/diners-club-black-metal-edition
Tata Neu Infinity HDFC Bank Credit Card,HDFC,21,65,12,750,1499,1499,https://www.hdfcbank.com/personal/pay/cards/credit-cards/tata-neu-infinity-hdfc-bank-credit-card
Times Black ICICI Bank Credit Card,ICICI,21,60,24,750,20000,20000,https://www.icicibank.com/personal-banking/cards/credit-card/times-black-icici-credit-card
HDFC Bank BizBlack Metal Edition Credit Card,HDFC,21,65,30,750,10000,10000,https://www.hdfcbank.com/personal/pay/cards/business-credit-cards/biz-black
HDFC Bank BizPower Credit Card,HDFC,21,65,12,750,2500,2500,https://www.hdfcbank.com/personal/pay/cards/business-credit-cards/biz-power
Emirates Skywards ICICI Bank Rubyx Credit Card,ICICI,21,65,9,700,1000,1000,https://www.icicibank.com/personal-banking/cards/credit-card/emirates-rubyx-credit-card
EazyDiner IndusInd Bank Credit Card,IndusInd,21,65,2.4,750,1999,1999,https://www.indusind.com/in/en/personal/cards/credit-card/eazydiner-credit-card.html?utm_source=Yahoo_Organic_Search
Axis Bank Vistara Infinite Credit Card,Axis,18,70,6,750,10000,10000,https://www.axisbank.com/retail/cards/credit-card/axis-bank-vistara-infinite-credit-card
Axis Bank Neo Credit Card,Axis,18,70,2.5,700,0,0,https://www.axisbank.com/retail/cards/credit-card/neo-credit-card
Axis Bank Burgundy Private Credit Card,Axis,18,70,120,750,50000,50000,https://www.axisbank.com/burgundyprivate/creditcard
Club Vistara IndusInd Bank Explorer Credit Card,IndusInd,21,70,7,750,40000,10000,https://www.indusind.com/in/en/personal/cards/credit-card/club-vistara-indusInd-bank-explorer-credit-card.html?utm_source=Yahoo_Organic_Search
ixigo AU Credit Card,AU Bank,21,60,3,700,0,0,https://www.ixigo.com/payments/cbcc
RBL World Safari Credit Card,RBL,21,70,3,750,3000,3000,https://www.rblbank.com/personal-banking/cards/credit-cards/world-safari-credit-card
Scapia Federal Credit Card,Federal Bank,21,70,5,700,0,0,https://www.federalbank.co.in/scapia
